Neighborhood_ID,Name,Parent_City,Parent_City_URL,Region,Latitude,Longitude,GeoNames_Pop_Est,Status,Page_URL,Reason,Data_Source
NB-N-001,Uptown Saint John,Saint John,/areas/saint-john,Fundy & Greater Saint John,45.2733,-66.0589,8221,BUILT,/areas/saint-john/uptown-saint-john,grounded local signals present (heritage/landmark/street),GeoNames CC-BY + verified local facts
NB-N-002,the North End,Saint John,/areas/saint-john,Fundy & Greater Saint John,45.27,-66.081,5389,BUILT,/areas/saint-john/north-end-saint-john,grounded local signals present (heritage/landmark/street),GeoNames CC-BY + verified local facts
NB-N-003,the South End,Saint John,/areas/saint-john,Fundy & Greater Saint John,45.265,-66.057,2442,BUILT,/areas/saint-john/south-end-saint-john,grounded local signals present (heritage/landmark/street),GeoNames CC-BY + verified local facts
NB-N-004,the West Side,Saint John,/areas/saint-john,Fundy & Greater Saint John,45.25,-66.1,3630,BUILT,/areas/saint-john/west-side-saint-john,grounded local signals present (heritage/landmark/street),GeoNames CC-BY + verified local facts
NB-N-005,Downtown Fredericton,Fredericton,/areas/fredericton,Capital & River Valley,45.962,-66.64,5193,BUILT,/areas/fredericton/downtown-fredericton,grounded local signals present (heritage/landmark/street),GeoNames CC-BY + verified local facts
NB-N-006,Marysville,Fredericton,/areas/fredericton,Capital & River Valley,45.98,-66.585,,BUILT,/areas/fredericton/marysville,grounded local signals present (heritage/landmark/street),GeoNames CC-BY + verified local facts
NB-N-007,Downtown Moncton,Moncton,/areas/moncton,Greater Moncton & Southeast,46.092,-64.785,7837,BUILT,/areas/moncton/downtown-moncton,grounded local signals present (heritage/landmark/street),GeoNames CC-BY + verified local facts
NB-N-008,Canton des Basques,tracadie,/areas/tracadie,,47.50508,-64.92695,319,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-009,Petit-Rocher-Ouest,petit-rocher,/areas/petit-rocher,,47.77946,-65.73025,,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-010,Haut-Shippagan,shippagan,/areas/shippagan,,47.74753,-64.75749,280,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-011,Pointe A Tom,tracadie,/areas/tracadie,,47.45152,-64.93553,,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-012,Pointe des Robichaud,tracadie,/areas/tracadie,,47.4669,-64.90984,,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-013,Bristol,florenceville-bristol,/areas/florenceville-bristol,,46.47097,-67.58093,,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-014,Central Moncton,moncton,/areas/moncton,,46.09696,-64.79623,8023,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-015,Downtown Dieppe,moncton,/areas/moncton,,46.09521,-64.74371,6690,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-016,Parkton,moncton,/areas/moncton,,46.08553,-64.79536,13745,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-017,North End,saint-john,/areas/saint-john,,45.27017,-66.08137,5389,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-018,McAllister,saint-john,/areas/saint-john,,45.30997,-66.01974,1697,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-019,Lancaster,saint-john,/areas/saint-john,,45.24311,-66.14009,3630,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-020,South End,saint-john,/areas/saint-john,,45.26715,-66.05461,2442,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-021,Sunset Acres,fredericton,/areas/fredericton,,45.9785,-66.67939,2240,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-022,Queen Square,fredericton,/areas/fredericton,,45.95566,-66.63922,1016,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-023,Town Plat,fredericton,/areas/fredericton,,45.96122,-66.6499,6104,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-024,Rabbit Town,fredericton,/areas/fredericton,,45.95519,-66.65065,1694,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-025,College Hill,fredericton,/areas/fredericton,,45.94711,-66.64471,1421,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-026,Waterloo Row,fredericton,/areas/fredericton,,45.95118,-66.63492,721,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-027,Sunshine Gardens,fredericton,/areas/fredericton,,45.962,-66.66421,828,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-028,North Hanwell,fredericton,/areas/fredericton,,45.95849,-66.68191,2897,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-029,Brookside West,fredericton,/areas/fredericton,,45.99957,-66.65096,1425,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-030,Heron Springs,fredericton,/areas/fredericton,,46.00941,-66.64153,626,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-031,Northbrook Heights,fredericton,/areas/fredericton,,46.01184,-66.63561,250,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-032,Skyline Acres,fredericton,/areas/fredericton,,45.93414,-66.6375,3321,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-033,Southwood Park,fredericton,/areas/fredericton,,45.92478,-66.62633,2691,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-034,Lincoln Heights,new-maryland,/areas/new-maryland,,45.90832,-66.59215,2189,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-035,Uptown Fredericton,fredericton,/areas/fredericton,,45.94259,-66.67021,4066,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
NB-N-036,Fredericton Northside,fredericton,/areas/fredericton,,45.97594,-66.64117,28167,DEFERRED,,subdivision/statistical section — insufficient distinct groundable local signals to meet the depth gate,GeoNames CC-BY
